"timestamp","tid","price","amount","sell"
1466373021,19981308,769.4,0.14952115,"sell"
1466373027,19981310,769.4,0.22034166,"sell"
1466373027,19981312,769.39,10.30533815,"sell"
1466373064,19981314,768.97,0.15329292,"sell"
1466373064,19981316,768.96,0.01,"sell"
1466373067,19981318,768.87,0.06006758,"buy"
1466373068,19981320,768.04,0.22,"sell"
1466373068,19981322,768.09,0.03,"sell"
1466373083,19981326,768.22,0.51451262,"sell"
1466373090,19981328,768.23,0.06358369,"sell"
1466373090,19981330,768.22,0.06641631,"sell"
1466373093,19981332,768.75,2.5,"buy"
1466373101,19981334,768.23,0.02640953,"sell"
1466373101,19981336,768.22,5.58969536,"sell"
1466373120,19981340,768.62,5.5,"buy"
1466373120,19981342,768.62,3,"buy"
1466373120,19981344,768.62,0.5,"buy"
1466373124,19981346,768.22,2,"buy"
1466373130,19981348,768.3,3.495,"sell"
1466373130,19981350,768.32,6.505,"sell"
1466373149,19981354,768.3,0.25,"sell"
1466373194,19981360,768.65,0.35181555,"buy"
1466373194,19981362,768.63,6.4819,"buy"
1466373203,19981364,768.3,0.0932,"sell"
1466373203,19981366,768.3,0.0068,"buy"
1466373203,19981368,768.65,0.0032,"buy"
1466373259,19981374,768.1,0.04510682,"sell"
1466373339,19981378,768.15,0.04615252,"sell"
1466373362,19981382,768.19,0.40110016,"sell"
1466373362,19981384,768.2,0.321,"sell"
1466373368,19981386,768.21,0.096718,"sell"
1466373370,19981388,768.49,0.06006758,"buy"
1466373387,19981390,768.21,0.11669433,"sell"
1466373390,19981392,768.21,1.5420509,"sell"
1466373420,19981396,768.4,0.02638,"sell"
1466373420,19981398,768.2,0.12542498,"sell"
1466373420,19981400,768.22,0.5,"sell"
1466373420,19981402,768.21,0.58093677,"sell"
1466373421,19981404,768.21,6.479,"buy"
1466373453,19981406,768.21,0.2,"buy"
1466373489,19981410,768.21,5,"buy"
1466373492,19981412,768.15,0.03522,"sell"
1466373496,19981414,768.21,5,"buy"
1466373519,19981422,768.2,0.02,"sell"
